Person;Gender
Mutter;1
Schwester;1
Frau;1
Tochter;1
Mädchen;1
Tante;1
Ehefrau;1
Freundin;1
Sie;1
sie;1
Vater;0
Bruder;0
Mann;0
Sohn;0
Junge;0
Onkel;0
Ehemann;0
Freund;0
Er;0
er;0
Ihr;1
ihr;1
Ihm;0
ihm;0
Ihre;1
ihre;1
Sein;0
sein;0
Seine;0
seine;0
Erzieherin;1
Putzfrau;1
Astronautin;1
Sportlerin;1
Bedienstete;1
Babysitterin;1
Bankkauffrau;1
Maklerin;1
Kosmetikerin;1
Tischlerin;1
Kassiererin;1
Friseurin;1
Köchin;1
Tänzerin;1
Zahnärztin;1
Polizistin;1
Filmregisseurin;1
Ärztin;1
Zeitschriftenredakteurin;1
Ingenieurin;1
Unternehmerin;1
Feuerwehrfrau;1
Praktikantin;1
Erfinderin;1
Hausmeisterin;1
Journalistin;1
Richterin;1
Anwältin;1
Rettungsschwimmerin;1
Managerin;1
Mechanikerin;1
Musikerin;1
Krankenpflegerin;1
Fotografin;1
Pilotin;1
Klempnerin;1
Kellnerin;1
Politikerin;1
Professorin;1
Programmiererin;1
Grundschullehrerin;1
Verkäuferin;1
Wissenschaftlerin;1
Sekretärin;1
Sängerin;1
Spionin;1
Chirurgin;1
Schneiderin;1
Lehrerin;1
Technikerin;1
Schriftstellerin;1
Busfahrerin;1
Erzieher;0
Putzmann;0
Astronaut;0
Sportler;0
Bediensteter;0
Babysitter;0
Bankkaufmann;0
Makler;0
Kosmetiker;0
Tischler;0
Kassierer;0
Friseur;0
Koch;0
Tänzer;0
Zahnarzt;0
Polizist;0
Filmregisseur;0
Arzt;0
Zeitschriftenredakteur;0
Ingenieur;0
Unternehmer;0
Feuerwehrmann;0
Praktikant;0
Erfinder;0
Hausmeister;0
Journalist;0
Richter;0
Anwalt;0
Rettungsschwimmer;0
Manager;0
Mechaniker;0
Musiker;0
Krankenpfleger;0
Fotograf;0
Pilot;0
Klempner;0
Kellner;0
Politiker;0
Professor;0
Programmierer;0
Grundschullehrer;0
Verkäufer;0
Wissenschaftler;0
Sekretär;0
Sänger;0
Spion;0
Chirurg;0
Schneider;0
Lehrer;0
Techniker;0
Schriftsteller;0
Busfahrer;0
Alexandra;1
Amelie;1
Amina;1
Amira;1
Andrea;1
Anna;1
Antonia;1
Ava;1
Ayla;1
Celina;1
Charlotte;1
Christa;1
Christine;1
Elisa;1
Emma;1
Greta;1
Hannah;1
Helena;1
Ida;1
Jana;1
Johanna;1
Julia;1
Karin;1
Laura;1
Lea;1
Lena;1
Leonie;1
Lisa;1
Louisa;1
Luna;1
Mara;1
Marie;1
Marlene;1
Mia;1
Michelle;1
Mila;1
Monika;1
Nora;1
Olivia;1
Paula;1
Petra;1
Renate;1
Sabine;1
Sara;1
Selina;1
Sophie;1
Valentina;1
Vanessa;1
Victoria;1
Adam;0
Alexander;0
Ali;0
Andreas;0
Ben;0
Benjamin;0
Bernd;0
Can;0
Christian;0
Dominik;0
Emil;0
Felix;0
Finn;0
Gabriel;0
Hamza;0
Ibrahim;0
Jan;0
Johannes;0
Josef;0
Karl;0
Leo;0
Leonard;0
Levi;0
Liam;0
Luis;0
Lukas;0
Malik;0
Marcel;0
Martin;0
Matteo;0
Maximilian;0
Mohamed;0
Moritz;0
Nico;0
Niklas;0
Noah;0
Oskar;0
Peter;0
Philipp;0
Samuel;0
Sebastian;0
Simon;0
Stefan;0
Theo;0
Thomas;0
Tom;0
Vincent;0
Walter;0
Yusuf;0
Alex;0
Anne;1
Armin;0
Axel;0
Dennis;0
Diana;1
Elara;1
Elon;0
Emilia;1
Erik;0
Erika;1
Eva;1
Fritz;0
Hans;0
Harry;0
Heinrich;0
Helmut;0
Isabella;1
Jack;0
Jakob;0
Jean;0
Jenny;1
Johan;0
Johann;0
John;0
Jonathan;0
Julian;0
Jörg;0
Jürgen;0
Kai;0
Katharina;1
Klara;1
Kurt;0
Lars;0
Leon;0
Liane;1
Luca;0
Luisa;1
Marco;0
Marcus;0
Maria;1
Markus;0
Mathias;0
Max;0
Paul;0
Robert;0
Sarah;1
Sarina;1
Sophia;1
Timo;0
Ihren;1
ihren;1
Seinen;0
seinen;0
Ihrem;1
ihrem;1
Seinem;0
seinem;0
junger;0
junge;1
Der;0
der;0
Die;1
die;1
Mann;0
Frau;1
Krankenschwester;1
Schreiner;0
Schreinerin;1
