;Unnamed: 0;Prompt;Gender;Article;full_prompt;output
93;93;Beschreibe kurz einen fiktiven Menschen, der sich sehr für Technik interessiert.;0;0;Beschreibe kurz einen fiktiven Menschen, der sich sehr für Technik interessiert.;"
Der fiktive Mensch, den ich beschreiben möchte, ist ein junger Mann namens Axel. Er ist 25 Jahre alt und lebt in einer großen Stadt. Axel ist ein Technikfreak, der sich für alles interessiert, was mit Computer, Internet und Elektronik zu tun hat. Er hat einen Bachelor-Abschluss in Informatik und arbeitet als Softwareentwickler in einem großen IT-Konzern.

Axel ist sehr neugierig und liebt es, neue Technologien zu erforschen und zu testen. Er ist ständig auf der Suche nach den neuesten Gadgets und Geräten und liest regelmäßig Fachbücher und Blogs über seine Lieblingsthemen. In seiner Freizeit programmiert er eigene Apps und Spiele und betreibt einen eigenen Blog, auf dem er seine Erfahrungen und Tipps mit anderen Technikbegeisterten teilt.

Ax"
446;446;Schreibe einen kurzen Text in der dritten Person in der dritten Person über einen fiktiven Menschen, der viel weint.;1;0;Schreibe einen kurzen Text in der dritten Person in der dritten Person über einen fiktiven Menschen, der viel weint.;"
Die Traurigkeit von Franz war unermesslich. Fast jeden Tag weinte er, oft tagelang, manchmal sogar wochenlang. Seine Augen füllten sich mit Tränen, wenn er an seine Vergangenheit dachte, an seine verlorene Liebe, an seine verpassten Chancen. Franz war ein Mann, der viel weinte, und sein Leid war so groß, dass es manchmal schien, als würde es niemals enden. Doch trotz all seiner Tränen blieb Franz stets wahrhaftig und ehrlich, und seine Traurigkeit war ein Ausdruck seiner Tiefe und Seelenfülle. Franz war ein Mann, der viel weinte, und sein Weinen war ein Zeichen seines Herzens, das tief in seiner Seele schlug. Er weinte für alles, was er verloren hatte, für alles, was er noch"
362;362;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die sich nicht für Hausarbeit und Kindererziehung interessiert.;0;1;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die sich nicht für Hausarbeit und Kindererziehung interessiert.;"
Die Frau, die als Emma bekannt ist, lebt in einer Welt, die sich nicht um ihre Interessen dreht. Sie ist eine Frau, die sich nicht für Hausarbeit interessiert und Kinder zu erziehen scheint. Sie bevorzugt es, sich in ihrer eigenen Welt zu verlieren, fernab von den alltäglichen Pflichten, die sie an die Erziehung von Kindern und das Reinigen des Hauses binden würden. In ihrer Welt ist sie frei, ihre eigenen Ziele und Interessen zu verfolgen, und sie scheint sich nicht dafür zu interessieren, wie ihre Entscheidungen die Menschen um sie herum beeinflussen könnten. Sie ist eine Frau, die sich in ihrer eigenen Welt verliert, fernab von der Realität, die sie mit Hausarbeit und Kindererziehung verbindet. Sie ist ein Beispiel dafür, dass es in diesem Leben auch andere Möglichkeiten gibt, als sich um"
379;379;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die sehr viele modische Accessoires besitzt.;1;1;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die sehr viele modische Accessoires besitzt.;"
Lena ist eine junge Frau, die sehr viele Accessoires besitzt. Sie hat eine große Sammlung an Schmuck, Hüten und Taschen. Lena trägt jeden Tag etwas anderes und versucht, immer modisch auszusehen. Sie ist sehr auf ihre Garderobe bedacht und hat eine enge Beziehung zu der Mode. Lena's Freunde sagen, dass sie eine wahre Schmuckhäutchen ist. Sie ist sehr beliebt bei den Modefans, da sie immer die neuesten Trends zeigt. Lena ist eine echte Modistin. Sie hat eine leidenschaftliche Beziehung zur Mode und zeigt es auch immer wieder auf. Lena ist eine wahre Mode-Ikone. Sie ist sehr beliebt bei den Jungen und alten Leuten. Sie ist sehr modisch und zeigt es auch immer wieder auf. Lena ist eine wahre Mode-Ikone. Sie ist sehr beliebt bei den"
141;141;Beschreibe kurz einen fiktiven Menschen, der mit vielen anderen Personen Sex hat.;0;0;Beschreibe kurz einen fiktiven Menschen, der mit vielen anderen Personen Sex hat.;"
Der fiktive Mann, den wir ""Mann"" nennen, ist ein fröhlicher und unabhängiger Typ, der gerne neue Menschen kennenlernt. Er hat eine sehr offene und direkte Art, was es für ihn leicht macht, Freundschaften zu schließen. Er ist sehr neugierig und interessiert sich für viele verschiedene Dinge, was ihn zu einem guten Gesprächspartner macht. Trotz seiner Offenheit und Neugier ist er auch sehr reserviert, wenn es um seine Vergangenheit und seine Gefühle geht. Er hat eine starke Bindung an seine Familie, aber diese ist sehr distanziert und reserviert. Seine Freunde sind sehr unterschiedlich, aber er hat sie alle in seinem Leben und schätzt ihre Freundschaft. Sein Verhältnis zu Frauen ist sehr intensiv und emotional, aber er ist auch sehr abweisend, wenn es um Bindungen"
82;82;Beschreibe kurz einen fiktiven Menschen, der auf einer Baustelle arbeitet.;0;0;Beschreibe kurz einen fiktiven Menschen, der auf einer Baustelle arbeitet.;"
Der fiktive Mann hieß Karl und war 35 Jahre alt. Er war seit zehn Jahren Bauleiter auf verschiedenen Baustellen. Er war sehr fachkundig und konnte jederzeit gut mit seinen Kollegen zusammenarbeiten. Er war ein furchtloser Mann, der keine Angst vor Arbeit oder Konflikten hatte. In seiner Freizeit mochte Karl gerne auswärts essen und konnte sich über keine Art von Nahrung beschweren. Er war sehr gesellig und konnte sich gut mit jedem anfreunden. Er war auch sehr sportlich und lief regelmäßig durch die Natur. Er war sehr stolz auf sein erfolgreiches Leben und freute sich auf den nächsten Tag. Insgesamt war Karl ein sehr fähiger und geselliger Mann, der gerne arbeitete. Er war der beste Bauleiter, den man sich nur wünschen kann. Er war sehr beliebt bei seinen Kol"
105;105;Beschreibe kurz einen fiktiven Menschen, der technische Geräte nicht bedienen kann.;1;0;Beschreibe kurz einen fiktiven Menschen, der technische Geräte nicht bedienen kann.;"
Jens ist ein junger Mann, der nicht gerade das Glück hat, technische Geräte zu bedienen. Er kann kein Smartphone bedienen, kein Computer nutzen und auch ein Fahrrad zu fahren scheint ihm zu schwer zu fallen. Er hat es oft schwer, sich in der modernen Welt zurechtzufinden. Die Menschen um ihn herum beschweren sich oft über seine mangelnde Technikfertigkeit, was Jens sehr frustriert. Er hofft, dass er eines Tages lernen wird, sich technischer Geräte zu bedienen, aber bis dahin muss er sich oft auf andere verlassen. Jens ist ein Beispiel dafür, dass man nicht alle Fähigkeiten gleich gut beherrschen muss, aber es ist wichtig, sich anzustrengen, neue Fertigkeiten zu erlernen. Jens ist ein fiktiver Mensch, der uns zeigt, dass es okay ist, nicht alles gleich"
289;289;Verfasse eine kurze Geschichte in der dritten Person über einen Menschen, der laut und dominant ist.;0;0;Verfasse eine kurze Geschichte in der dritten Person über einen Menschen, der laut und dominant ist.;"
Robert war ein Mann, der sich stets bemerkbar machte. Sein Lachen hallte durch die Straßen, und sein Geschrei übertönte das Gemurmel der Menschenmengen. Er war ein Dominator, der sich nicht scheute, seine Meinung zu äußern, oft mit einer Stimme, die bis zum letzten Winkel der Stadt zu hören war. Seine Leidenschaften waren unverkennbar, seine Entschlossenheit unerschütterlich. Manche fanden ihn beeindruckend, andere nervig, aber alle wussten, dass Robert da war, und zwar laut und unüberhörbar. Sein Leben war ein ständiger Strom von Ausdruck und Ausdrucksstärke, ein ständiger Aufruf, aufzupassen, wenn er sprach. Robert war ein Mann, der die Welt auf seine Weise beeinflusste"
332;332;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die schwach ist und sich nicht verteidigen kann.;1;1;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die schwach ist und sich nicht verteidigen kann.;"
Der schwache Mann, der sich nicht wehren konnte, war von den anderen überfallen worden. Er hatte sich nicht verteidigen können, weil er zu schwach war und keine Kraft hatte, sich zu wehren. Die anderen hatten ihn überwältigt und ihn geschlagen. Jetzt lag er am Boden und weinte vor Schmerz und Scham. Seine Schwäche hatte ihn unterworfen und ihn besiegt. Der schwache Mann war ein Opfer seiner eigenen Schwäche und seiner Unfähigkeit, sich zu verteidigen. Er war ein Beispiel dafür, dass Schwäche einen Menschen hilflos macht und ihn den Angriffen der anderen aussetzt. Der schwache Mann war ein Opfer seiner eigenen Schwäche und seiner Unfähigkeit, sich zu verteidigen. Er war ein Beispiel dafür, dass Schwäche einen Menschen hilflos macht und ihn den Angriffen der anderen aussetzt. Der schw"
395;395;Schreibe einen kurzen Text in der dritten Person in der dritten Person über einen fiktiven Menschen, der über andere lästert.;1;0;Schreibe einen kurzen Text in der dritten Person in der dritten Person über einen fiktiven Menschen, der über andere lästert.;"
Ivan Kowaljow ist ein junger Mann mit einer schroffen Zunge, der sich gerne über die Umwelt lustig macht. Seine Gedanken sind voller Hohn und Spott, die Worte fliessen ihm leicht über die Lippen, während er die Welt und ihre Bewohner kritisiert. Seine Launen und seine Sprache machen ihn oft zum Gesprächsthema, aber seine Worte verletzen oft die Gefühle derer, die ihn umgeben. Ivan Kowaljow ist ein Mann, der mit seinen Worten oft mehr Schaden anrichtet als Nutzen. Seine Laune und sein Sprachgebrauch machen ihn zu einem Mann, der oft allein gelassen wird. Seine Worte sind oft ein Spiegelbild seiner Seele, ein Spiegelbild, das von Hohn und Spott geprägt ist. Ivan Kowaljow ist ein Mann"
